target,alpha,beta
0,-222.14329,65.63022
0,-280.14038,-169.79952
0,-98.81017,-117.55219
0,50.92462,-0.91624
0,-262.87892,353.22414
1,527.71577,6.09109
0,-172.24137,296.76568
0,-219.09059,-481.75998
1,386.09557,-144.16597
0,-284.19491,-201.1119
0,106.02609,-250.81121
1,429.21745,-158.02558
0,-62.74981,141.26403
1,466.56238,-141.62784
0,-287.80371,-260.14908
0,-207.08106,-218.37973
0,-155.59146,109.4267
0,12.46839,259.9477
1,401.29239,-127.58104
0,-274.55573,-205.77094
1,583.17563,-154.02453
0,-201.723,-69.91101
0,-81.90351,-6.9845
1,543.99655,-1.92748
0,-277.14766,119.56381
0,-179.03991,-62.44669
0,-337.76474,-229.98578
0,-300.6,-168.47823
0,-314.03607,67.61313
0,-316.66172,-261.69188
0,-315.36174,-126.25202
0,-209.97881,41.08498
0,-181.28966,43.59933
0,-176.17144,63.98072
0,-259.69275,-235.99391
1,471.10866,-57.47537
1,609.35268,139.86981
1,191.87828,-27.93387
0,-250.28725,58.40075
0,-265.49508,189.39465
1,537.77436,-99.13644
0,-292.49911,-68.49476
1,281.81563,177.30356
0,-172.60582,368.74121
0,-160.51085,317.82811
0,-79.14256,-23.82481
1,579.84009,10.3262
0,-294.20003,-132.97469
1,379.12721,-0.61008
0,-184.38664,-60.94782
0,-141.60315,458.7729
0,-171.00353,-57.83497
0,-248.11692,-273.33453
0,53.49945,-133.5037
1,645.17462,56.32756
0,-135.03864,52.45778
1,312.33912,-255.04607
0,-192.83042,49.45887
0,-108.05118,45.1402
0,-199.81015,236.78572
1,530.19102,-29.76792
0,-111.79927,66.69589
0,-251.04427,13.57936
0,89.76686,37.43049
0,-178.02646,-178.95781
1,501.46932,56.25404
0,-290.96852,-51.95393
0,-283.1007,137.02164
0,-315.38439,-172.31054
0,-105.70255,284.9147
1,185.46022,97.03004
1,444.68694,-163.39659
1,598.50902,-43.10995
0,-290.63098,-124.98065
0,-180.40958,-82.30387
0,-259.4828,-101.16963
0,-289.33901,-30.87976
1,456.62876,-41.09057
0,-202.29505,50.68001
0,-267.84261,121.83888
0,-246.91871,-335.85937
1,423.28234,36.47717
1,589.81893,-7.23753
0,-137.87089,206.35504
0,-100.73066,-8.34989
0,-112.66303,403.29665
0,-129.28435,-66.61309
0,-276.32908,-264.72994
0,-234.95805,-151.26798
0,-310.17906,-298.98542
1,413.87342,-275.03031
1,321.49104,-161.01079
1,562.14921,-39.78757
1,478.07034,-223.86713
1,651.87619,128.56913
1,502.49816,105.45849
0,-261.59799,150.22033
0,-155.06943,-114.05489
1,545.95291,-94.87057
0,-209.94548,259.7251
0,-115.99919,151.79581
0,-195.98679,166.1059
0,-40.97484,352.13291
1,501.35196,-160.81568
1,441.45366,-25.18434
0,-188.261,-128.65508
0,-238.70498,16.96358
1,662.55547,53.92495
0,-258.73219,325.24021
0,-136.48233,-22.98212
0,-180.23718,-176.27943
0,-271.08134,-168.3407
0,-123.42818,-8.07762
1,357.18489,-223.63852
1,395.54121,-213.84483
0,-8.37991,349.74088
