target,alpha,beta
1,0.138779,1.471055
1,0.194444,1.555556
0,2.99871,0.0
0,2.07905,0.0
1,0.0,0.250597
1,0.0,0.936008
1,0.0,1.417551
1,0.0,2.153846
1,0.0,1.004785
0,1.523482,0.0
0,0.554675,0.0
0,2.593965,0.0
0,0.532609,0.0
0,3.835616,0.0
0,3.509749,0.0
0,4.89083,0.0
0,0.238327,0.0
0,1.247815,0.0
0,1.238025,0.0
1,0.0,1.948608
0,3.87917,0.0
1,0.0,3.259604
0,3.684211,0.0
1,0.0,7.484812
0,0.84507,0.112676
0,5.801105,0.0
1,0.0,2.372881
0,0.629486,0.0
1,0.0,6.481481
1,0.0,0.321369
1,0.0,1.645123
1,0.0,1.332065
1,0.0,3.156863
0,0.322687,0.0
0,1.478473,0.0
0,0.346535,0.0
0,6.220703,0.0
0,6.791045,0.0
1,0.0,5.042373
0,0.921053,0.0
1,0.0,4.892473
0,1.525292,0.0
0,5.426357,0.0
1,0.0,2.393162
1,0.0,1.948504
0,3.139124,0.0
0,5.945946,0.0
1,0.0,1.71825
0,1.870229,0.0
1,0.0,1.142274
1,0.0,3.330162
0,1.129792,0.0
0,0.813575,0.0
1,0.0,3.955774
0,1.061224,0.0
1,0.0,1.346154
1,0.0,8.492976
0,3.919659,0.0
1,0.0,1.908471
0,1.524664,0.0
0,2.425743,0.0
1,0.14,2.1
1,0.0,5.464684
1,0.034887,2.825816
0,4.044444,0.0
0,1.837787,0.0
0,5.101215,0.0
0,0.393479,0.0
1,0.0,0.261194
0,1.235658,0.0
0,2.204724,0.0
0,1.179417,0.127505
0,2.15003,0.0
0,5.060055,0.015427
1,0.0,1.459227
0,1.402806,0.0
0,2.295082,0.0
0,3.746959,0.0
0,0.418035,0.0
0,1.27378,0.0
0,1.286522,0.0
1,0.0,3.902439
1,0.0,4.40678
0,2.406471,0.0
0,0.499109,0.0
1,0.229885,1.37931
0,1.480611,0.0
1,0.347395,2.431762
0,0.394821,0.035893
1,0.652681,1.305361
0,1.076923,0.0
0,0.800152,0.0
0,2.129443,0.0
1,0.0,9.674797
1,0.062584,0.751006
1,0.158371,1.108597
1,0.0,3.442623
1,0.054623,3.878268
0,3.922105,0.0
0,1.879937,0.110585
0,9.180328,0.0
0,4.468085,0.0
0,1.601017,0.0
0,3.389474,0.0
1,0.0,14.675541
0,1.943159,0.0
1,0.0,2.555019
0,3.604897,0.0
1,0.22082,4.637224
0,5.793103,0.0
0,0.380435,0.0
1,0.0,2.021277
1,0.031297,2.868852
1,0.0,1.691843
0,1.748543,0.0
1,0.0,0.915407
0,0.430504,0.0
1,0.0,1.152263
0,0.40887,0.015143
0,1.076923,0.0
0,2.258065,0.0
0,1.144566,0.251246
1,0.0,6.181715
1,0.0,4.325438
0,1.412028,0.0
1,0.0,0.423814
1,0.786517,0.707865
1,0.0,0.710562
0,1.656805,0.0
0,2.12766,0.0
1,0.0,3.758904
1,0.0,3.411552
0,2.051965,0.0
0,3.227666,0.0
0,1.198362,0.0
1,0.362108,1.154219
0,0.823529,0.0
0,3.104839,0.0
0,0.684039,0.0
0,0.650558,0.0
0,3.18818,0.0
0,2.309278,0.0
1,0.0,3.228995
1,0.0,5.198939
0,2.028986,0.0
1,0.0,0.269145
0,1.678779,0.0
0,1.838949,0.0
1,0.618102,4.326711
0,2.493321,0.0
0,5.526316,0.0
0,2.233594,0.0
0,0.224,0.183273
0,1.815936,0.0
0,1.762963,0.0
0,1.965679,0.0
0,1.146601,0.0
1,0.913043,3.773913
0,3.387097,0.0
0,2.84492,0.0
1,0.0,3.267504
1,0.0,2.574713
0,6.101695,0.0
1,0.0,7.958237
1,0.0,1.798715
1,0.0,0.247569
1,0.0,0.298667
0,2.09499,0.0
1,0.0,9.559033
1,0.0,0.290356
1,0.05283,4.860377
0,2.866894,0.0
1,0.0,0.84
1,0.0,1.068702
0,2.425197,0.0
1,0.0,8.761651
1,0.0,3.414634
1,0.0,2.429501
0,0.419162,0.0
0,3.157895,0.0
0,0.482677,0.0
1,0.0,2.315789
1,0.0,9.063361
1,0.047118,1.920067
1,0.238908,1.194539
1,0.0,9.442815
1,0.060293,7.838071
0,5.022422,0.0
1,0.0,4.629516
0,2.661035,0.0
1,0.0,5.659051
1,0.213415,3.20122
0,1.887967,0.0
1,0.0,0.266794
1,0.0,1.439589
0,0.923695,0.0
1,0.0,9.850299
1,0.0,2.264151
1,0.0,0.27451
0,0.539783,0.0
1,0.0,0.222134
1,0.0,0.301453
0,2.346369,0.0
1,0.189702,1.707317
1,0.0,11.88455
0,1.420472,0.0
0,1.477573,0.0
0,0.848018,0.0
1,0.0,0.69356
0,2.643229,0.0
0,2.246269,0.0
0,3.501946,0.0
0,0.51756,0.0
1,0.0,3.157895
0,1.577203,0.0
1,0.0,3.32973
1,0.0,2.537764
1,0.0,4.111888
0,2.628458,0.0
0,1.028907,0.0
1,0.0,0.253432
1,0.0,9.838814
1,0.0,0.247059
0,1.568627,0.0
1,0.0,4.365256
1,0.0,1.519779
0,4.955752,0.0
1,0.072558,1.052086
0,1.326157,0.06028
0,0.785219,0.0
0,1.010309,0.0
0,0.954545,0.0
1,0.0,0.19943
1,0.0,4.595324
1,0.0,1.908007
0,1.74743,0.0
1,0.0,4.408252
0,2.751092,0.0
1,0.041457,3.440924
0,1.705238,0.0
1,0.0,0.267388
1,0.0,2.988506
0,1.296912,0.0
0,3.119777,0.0
1,0.0,5.266458
0,4.628099,0.0
0,0.718546,0.03884
0,1.700486,0.0
0,0.609901,0.0
1,0.407824,0.990429
0,1.206897,0.0
1,0.0,0.298986
1,0.051364,1.318332
0,0.471486,0.0
0,7.777778,0.0
0,1.654229,0.0
0,3.28907,0.0
1,0.0,1.559554
0,1.689008,0.0
1,0.0,3.121019
1,0.0,0.287032
1,0.0,3.315789
0,3.307087,0.0
1,0.0,3.010753
1,0.0,5.185185
0,2.96875,0.0
1,0.0,9.611563
1,0.0,1.806452
0,1.316998,0.0
0,1.038686,0.0
0,5.785124,0.0
0,3.059259,0.0
1,0.099668,1.395349
0,1.552361,0.0
1,0.105501,4.64205
1,0.254083,3.557169
0,1.061372,0.0
1,0.0,2.268827
1,0.0,3.636364
1,0.0,2.451436
1,0.0,2.424242
1,0.0,3.220859
1,0.0,13.064313
1,0.0,3.433962
0,1.368078,0.0
0,1.739745,0.0
0,0.600858,0.0
0,2.24,0.0
0,1.34357,0.0
0,1.347678,0.0
1,0.028718,1.435897
0,1.166095,0.0
1,0.291971,1.313869
1,0.043512,1.675214
1,0.0,1.956332
0,6.934985,0.0
1,0.474777,1.127596
1,0.0,9.61194
1,0.0,0.659933
0,5.185185,0.0
0,0.843555,0.030127
1,0.015004,1.275319
0,3.095823,0.0
1,0.0,9.767442
1,0.0,1.527273
0,3.0,0.0
0,3.262411,0.0
1,0.060112,5.470159
1,0.0,2.970183
0,2.058824,0.0
0,2.849389,0.0
0,1.621622,0.0
0,2.901024,0.0
1,0.0,4.629921
1,0.0,0.250634
0,1.091743,0.0
0,0.941083,0.0
0,0.960439,0.0
0,1.944444,0.0
1,0.0,4.154676
0,1.311475,0.0
1,0.0,2.953586
0,4.333333,0.0
1,0.0,4.496788
1,0.0,4.873001
1,0.0,0.248447
0,1.253731,0.104478
1,0.0,0.291464
1,0.0,2.00409
1,0.145078,3.699482
0,5.333333,0.0
0,3.818182,0.0
1,0.060606,0.787879
1,0.0,2.622951
0,0.844391,0.0
1,0.492091,0.984183
1,0.0,7.985437
0,15.384615,0.0
0,1.238938,0.0
1,0.0,2.740964
0,0.694215,0.0
1,1.149111,0.574555
1,0.0,3.589744
1,0.0,2.71035
1,0.0,4.32247
0,3.691149,0.0
1,0.405797,4.869565
0,2.3311,0.0
0,2.087605,0.0
0,1.206203,0.0
0,1.71729,0.0
1,0.0,9.292929
1,0.0,1.975806
0,1.834333,0.0
0,0.286006,0.0
0,4.438732,0.0
0,0.85431,0.0
0,7.832168,0.0
0,1.642764,0.0
1,0.0,7.903226
1,0.158763,1.818557
1,0.0,7.029289
0,1.045817,0.0
1,0.0,3.181818
1,0.0,5.541126
0,4.852375,0.0
1,0.0,6.72
0,3.812066,0.0
1,0.0,14.175199
0,0.338866,0.0
1,0.0,2.292733
1,0.0,5.338983
1,0.0,2.684366
1,0.0,10.869565
0,0.853659,0.0
1,0.0,4.009288
0,1.828358,0.0
0,1.580433,0.0
0,3.714623,0.0
1,0.0,1.552106
0,0.972135,0.0
1,0.29661,3.855932
0,0.57289,0.0
0,5.16129,0.0
0,1.58371,0.0
1,0.0,1.984536
1,0.0,5.511811
1,0.0,2.305026
0,5.833333,0.0
0,0.827389,0.0
1,0.0,2.654028
1,0.306178,0.995079
1,0.0,2.698073
1,0.0,2.834008
0,0.839329,0.0
0,2.021158,0.0
1,0.0,0.289855
0,0.214515,0.0
1,0.0,1.684211
0,3.302892,0.0
1,0.0,1.518987
0,1.048128,0.0
1,0.0,3.260026
0,0.618861,0.275049
0,5.30303,0.0
1,0.071942,1.438849
0,3.172805,0.0
0,3.753191,0.0
0,1.255094,0.0
0,1.853513,0.0
0,4.597701,0.0
1,0.414201,0.621302
0,0.56701,0.0
1,0.0,0.201729
0,0.446393,0.0
1,0.0,3.238434
0,0.36961,0.0
0,0.782424,0.0
0,3.310153,0.0
1,0.0,6.551724
0,1.242044,0.0
1,0.0,0.668258
1,0.0,4.686192
0,1.317465,0.038749
0,3.020031,0.0
1,0.0,1.371709
0,6.405229,0.0
0,2.68341,0.0
0,6.526887,0.0
0,0.971032,0.0
0,1.971128,0.0
0,1.161826,0.0
1,0.14293,1.214906
0,3.139653,0.0
1,0.0,21.195219
0,0.611354,0.0
0,0.90878,0.0
1,0.067764,1.42304
0,1.117135,0.0
1,0.0,2.293292
0,0.122164,0.0
0,5.12364,0.0
0,8.461538,0.0
0,1.058696,0.0
1,0.731511,1.575563
0,2.231076,0.0
1,0.0,0.216161
1,0.127422,1.401638
1,0.021161,0.338573
1,0.0,2.282609
0,1.183099,0.0
0,4.712482,0.0
0,1.044776,0.0
0,2.081129,0.0
1,0.409031,0.185923
1,0.0,0.287967
0,3.235747,0.0
0,3.140496,0.0
1,0.0,0.28625
1,0.0,2.812052
0,0.587687,0.0
0,2.694899,0.0
1,0.0,2.014388
0,3.046632,0.0
1,0.0,4.193469
0,1.895551,0.0
1,0.0,0.247897
0,0.766805,0.0
0,4.472843,0.0
0,2.290389,0.0
1,0.0,0.221577
0,1.621951,0.0
0,1.531546,0.0
1,0.351759,0.977108
1,0.0,1.027949
0,0.582063,0.0
1,0.0,2.112069
0,4.262295,0.0
1,0.0,1.072797
1,0.0,2.883895
1,0.0,1.737056
1,0.0,7.756233
1,0.02583,1.627306
