label,alpha,beta
1,0.834,0.082
0,0.46,0.464
1,0.758,0.192
1,0.028,0.95
0,0.61,0.074
1,0.186,0.782
0,0.642,0.474
1,0.426,0.766
0,0.486,0.376
0,0.466,0.254
0,0.49,0.092
0,0.45,0.188
0,0.432,0.49
1,0.842,0.184
1,0.364,0.854
0,0.402,0.5
1,0.864,0.744
1,0.202,0.876
1,0.842,0.816
1,0.874,0.074
0,0.556,0.016
1,0.974,0.2
0,0.46,0.142
0,0.856,0.566
1,0.894,0.118
1,0.476,0.754
1,0.6,0.746
1,0.686,0.816
0,0.832,0.638
0,0.572,0.372
1,0.824,0.85
1,0.84,0.16
1,0.168,0.282
1,0.86,0.116
1,0.082,0.198
0,0.378,0.636
1,0.12,0.818
1,0.488,0.824
1,0.836,0.844
1,0.782,0.198
0,0.116,0.438
1,0.884,0.018
1,0.632,0.82
0,0.252,0.562
1,0.496,0.834
1,0.734,0.236
0,0.47,0.194
0,0.404,0.052
1,0.804,0.216
1,0.802,0.13
1,0.532,0.862
1,0.878,0.828
0,0.466,0.408
1,0.804,0.094
1,0.246,0.932
1,0.884,0.064
1,0.242,0.818
1,0.864,0.016
1,0.1,0.86
0,0.436,0.498
1,0.192,0.836
1,0.174,0.14
0,0.264,0.546
0,0.472,0.45
1,0.14,0.228
1,0.242,0.032
1,0.27,0.03
0,0.284,0.498
0,0.402,0.206
1,0.27,0.796
1,0.294,0.772
1,0.87,0.17
1,0.066,0.176
0,0.388,0.248
1,0.878,0.25
1,0.508,0.896
0,0.57,0.37
1,0.142,0.084
0,0.508,0.372
1,0.95,0.094
1,0.478,0.758
1,0.652,0.732
0,0.578,0.126
0,0.06,0.622
0,0.006,0.534
0,0.442,0.564
1,0.424,0.742
0,0.504,0.454
1,0.21,0.73
1,0.844,0.11
0,0.508,0.16
1,0.76,0.218
0,0.536,0.44
0,0.426,0.08
1,0.674,0.198
0,0.446,0.496
1,0.136,0.972
0,0.694,0.47
1,0.59,0.88
1,0.854,0.792
0,0.444,0.28
1,0.594,0.694
1,0.156,0.098
1,0.418,0.852
0,0.466,0.206
1,0.084,0.806
0,0.272,0.426
1,0.754,0.21
1,0.204,0.772
1,0.96,0.158
0,0.504,0.262
0,0.462,0.27
0,0.574,0.552
1,0.176,0.222
1,0.824,0.162
1,0.112,0.196
0,0.52,0.29
0,0.8,0.438
0,0.482,0.446
1,0.408,0.808
0,0.556,0.42
1,0.524,0.818
0,0.238,0.53
0,0.174,0.552
1,0.804,0.128
0,0.5,0.148
0,0.208,0.494
1,0.34,0.816
1,0.11,0.14
0,0.478,0.602
1,0.898,0.058
1,0.174,0.736
0,0.548,0.162
1,0.08,0.862
0,0.11,0.426
0,0.21,0.658
1,0.454,0.888
0,0.548,0.406
1,0.108,0.974
0,0.14,0.504
0,0.494,0.074
1,0.306,0.928
1,0.774,0.124
1,0.872,0.864
1,0.474,0.85
0,0.912,0.562
1,0.24,0.808
1,0.02,0.168
1,0.812,0.168
0,0.188,0.438
0,0.486,0.486
1,0.402,0.76
1,0.85,0.098
1,0.37,0.84
0,0.57,0.714
0,0.236,0.51
1,0.34,0.812
0,0.488,0.48
1,0.53,0.822
1,0.742,0.162
0,0.654,0.668
1,0.83,0.176
0,0.472,0.464
0,0.42,0.16
1,0.518,0.93
1,0.122,0.078
1,0.978,0.182
1,0.858,0.178
0,0.442,0.2
1,0.38,0.806
1,0.042,0.688
1,0.876,0.868
1,0.54,0.876
1,0.176,0.866
0,0.442,0.508
0,0.898,0.484
0,0.926,0.64
0,0.14,0.53
1,0.786,0.204
1,0.768,0.182
1,0.226,0.25
0,0.01,0.552
0,0.136,0.578
1,0.976,0.158
1,0.864,0.08
0,0.556,0.402
1,0.218,0.198
1,0.244,0.724
0,0.218,0.642
1,0.836,0.178
1,0.83,0.882
1,0.098,0.17
1,0.808,0.154
0,0.648,0.542
1,0.196,0.156
0,0.386,0.302
1,0.042,0.148
1,0.766,0.232
1,0.46,0.844
1,0.19,0.08
0,0.536,0.388
0,0.592,0.158
0,0.16,0.566
1,0.814,0.798
