target,kmeans,pca_x,pca_y,tsne_x,tsne_y
0,0,-0.29708415,0.06213134,39.86332321,-19.10682106
1,0,0.07658523,-0.10958535,-55.34837341,-8.36801624
1,0,0.11847954,-0.20721838,-56.46273041,0.76271665
1,1,0.35384273,0.87540523,12.2810688,73.60185242
1,0,-0.06239248,0.00025424,8.7217474,20.45239449
0,0,-0.13152899,0.03101501,11.43208027,-34.60907745
1,0,0.04339043,-0.10662111,20.06421471,4.56208801
1,1,0.49311071,0.22078391,31.00601959,54.39953995
1,0,0.13609399,-0.11176927,7.46986389,46.75665665
1,0,0.12023367,-0.18268844,-37.71630478,17.65357018
0,0,-0.21463789,0.00276523,28.02887154,-4.28759146
0,0,-0.13655882,-0.00588917,8.21760559,-0.94037056
1,0,-0.03402386,-0.0589905,-20.09292793,10.93291664
1,0,0.12068607,-0.17632621,-39.86351013,10.99519157
1,0,0.01842738,-0.06054377,-18.01416779,23.68314552
1,0,-0.00299071,-0.00930359,10.92882061,51.69163513
1,1,0.34654163,0.84246189,12.63434124,76.10552216
0,0,-0.22184371,-0.00437001,10.32302761,-16.89443207
1,1,0.61789174,-0.20997626,-34.07027435,46.86387634
0,0,-0.14388864,-0.00731027,-15.99952698,-10.3649559
0,0,-0.12774197,-0.05206115,-25.00292778,-48.80187988
0,0,-0.19380652,0.03007887,35.4776535,-38.14168167
0,0,-0.23653511,0.0648928,47.2325058,-34.88800049
0,0,-0.18266301,0.00611234,34.1940918,18.93795204
0,0,-0.30755346,0.06195471,34.69936371,-28.48279953
1,0,0.02164076,-0.05436659,28.40768051,8.75081635
1,0,-0.01872409,-0.04343264,29.16805649,-26.89700699
1,0,0.22090991,-0.26564092,-41.03750992,13.34751987
0,0,0.07761829,0.15870039,5.53571892,77.37099457
1,0,0.19014763,-0.22691754,-56.17974091,12.97819996
1,1,0.5994091,-0.19710525,-20.16387177,45.32022476
0,0,-0.17782811,-0.01669517,5.61178017,0.82567257
0,0,-0.18010069,0.01734259,27.26045036,-6.11757278
1,0,-0.08343848,-0.01330538,4.43072367,29.78523445
1,0,0.13996503,-0.20615329,-60.79789352,7.74762869
0,0,-0.13604495,0.0236642,-2.35182285,-25.91300964
1,0,0.00280906,-0.10454778,-6.50584936,10.93469524
0,0,-0.17293621,0.03524795,-6.72860479,-23.6349659
1,0,0.17413492,-0.22402561,-55.44002914,12.90540123
0,0,-0.17819436,0.01512493,4.21616602,-27.33272171
0,0,-0.13145852,-0.03934472,-26.34446144,-48.93700027
1,1,0.39985559,0.50985175,6.91272688,77.59389496
1,0,0.04155108,-0.02679908,10.278759,49.78959274
0,0,-0.35608787,0.08321587,40.69724655,-21.92339325
0,0,-0.17132722,-0.00322734,13.39442348,-5.77947235
0,0,-0.10666416,-0.0067781,-14.72196007,-13.35306263
0,0,-0.1071246,-0.06428163,-25.00147629,-47.64515686
1,1,0.33510534,0.84447613,6.6118803,70.28285217
1,0,0.04986835,-0.00830799,12.84097099,42.77812576
0,0,-0.04953356,0.00937716,-7.65556383,48.66480255
0,0,-0.11670424,0.02358762,-28.12306595,-55.45886993
1,1,0.46584671,-0.18980308,-27.65510941,36.93008804
0,0,-0.06893837,0.0353539,12.65973473,-29.95818329
0,0,-0.12018961,0.01093766,-2.63437629,-40.67481995
0,0,-0.15200834,0.01267213,25.91846085,-33.56254959
1,0,0.07286103,-0.15572259,-35.19715881,10.97027969
0,0,-0.08721963,-0.06060516,-21.91697311,-20.68335152
1,0,0.00564946,0.01361739,17.35885811,-2.69808555
1,0,-0.06788964,0.00358781,-8.8008728,18.87993431
0,0,-0.30366992,0.07444531,35.22321701,-28.93644142
0,0,-0.1020933,-0.0183817,-11.04059315,-16.86161232
0,0,-0.07610681,0.01243025,-12.83790779,-19.2924118
0,0,-0.13398289,-0.04094694,-16.32329559,-47.65280151
0,0,-0.16557009,0.02675779,10.13833904,-35.77480698
1,0,-0.08500889,-0.01750627,5.04861116,5.23547792
0,0,-0.09237137,0.01293685,-25.35294724,-27.93840027
0,0,-0.18687971,0.03399638,44.06266403,-24.3611908
1,0,0.1441876,-0.07314168,14.81399918,42.93059158
0,0,-0.12543831,-0.03435088,-33.4088707,-49.60844421
1,0,-0.0327813,-0.07490844,33.30384827,10.14543915
1,0,-0.05969081,-0.03394259,-16.06474876,-10.28968525
0,0,-0.14550582,0.00638108,20.99342155,-33.3282547
0,0,-0.13824968,0.02552677,12.59314823,5.62655163
1,0,-0.01458572,-0.02004735,12.19279194,11.52063942
1,1,0.3000045,-0.18443162,-23.22346497,39.17889786
1,0,-0.02292288,-0.02073094,-7.82219267,20.12194443
0,0,-0.21425087,0.01695829,18.81365204,-46.72012329
1,1,0.62546509,-0.21960782,-19.18006897,46.0721283
1,0,0.13557375,-0.20774803,-61.0946846,7.87376451
0,0,-0.24567311,0.04470511,37.28173447,-11.5700016
1,1,0.51642447,0.01808377,29.7057724,48.85124969
1,1,0.57618605,-0.17435831,-35.93528366,48.21904373
0,0,-0.23040388,0.06401548,34.43058395,-19.02924538
0,0,-0.10065979,-0.00307879,-34.21050262,-31.11490631
1,0,-0.06037563,-0.05255834,27.5334816,-2.87697744
0,0,-0.13387542,-0.02677428,-18.950243,-27.65178299
1,1,0.60502761,-0.19316679,-20.73767471,47.01970291
0,0,-0.13636072,0.01510442,-20.74601936,-32.60917282
1,0,-0.06821755,-0.03106619,-2.22516894,17.49883652
1,0,-0.07729865,-0.02462392,-6.44759893,8.75309944
1,0,-0.08216946,-0.00927353,25.88854599,-14.64992714
1,0,0.22636205,-0.3032463,-51.05905533,6.5410285
0,0,-0.12366759,-0.00132851,-13.44875145,-35.1844902
1,1,0.51009227,-0.14458451,-27.93418694,36.03992462
0,0,-0.1842191,0.03492753,30.04893303,-27.08701706
